hazardIntensityNatural,hazardIntensitySocial,hazardFrequencyNatural,hazardFrequencySocial,naturalThreatDuration,tolerance_for_deviation,avg_anxiety,
3.0,2.5,3.0,3.0,3.0,0.65,6.031839536572541,
3.0,2.5,3.0,3.0,3.0,0.65,5.856386655404085,
3.0,3.0,3.0,3.0,3.0,0.65,5.992094453947771,
3.0,2.5,3.0,3.0,3.0,0.65,6.075904768426948,
3.0,3.0,3.0,3.0,3.0,0.65,5.712804127059996,
3.0,3.0,3.0,3.0,3.0,0.65,5.9701512220437,
3.0,3.0,3.0,3.0,3.0,0.65,5.593591780415546,
3.0,3.0,3.0,3.0,3.0,0.65,6.325502976511555,
3.0,3.0,3.0,3.0,3.0,0.65,5.704135380660615,
3.0,2.5,3.0,3.0,3.0,0.65,6.0127749676671876,
3.0,3.0,3.0,3.0,3.0,0.65,5.684156867147517,
3.0,3.0,3.0,3.0,3.0,0.65,5.909331109931497,
3.0,3.0,3.0,3.0,3.0,0.65,6.069461877991017,
3.0,3.0,3.0,3.0,3.0,0.65,6.52142844162585,
3.0,3.0,3.0,3.0,3.0,0.65,5.918148355837324,
3.0,3.0,3.0,3.0,3.0,0.65,5.796797622399383,
3.0,3.0,3.0,3.0,3.0,0.65,6.2909143327210355,
3.0,3.5,3.0,3.0,3.0,0.65,6.322725173068774,
3.0,3.5,3.0,3.0,3.0,0.65,6.068490349384957,
3.0,3.0,3.0,3.0,3.0,0.65,5.988482816729541,
3.0,3.0,3.0,3.0,3.0,0.65,6.004520397812952,
3.0,3.0,3.0,3.0,3.0,0.65,5.729149664264083,
3.0,3.0,3.0,3.0,3.0,0.65,6.07951543051513,
3.0,3.0,3.0,3.0,3.0,0.65,6.00894687610063,
3.0,3.5,3.0,3.0,3.0,0.65,6.019022467674136,
3.0,3.5,3.0,3.0,3.0,0.65,6.084450253107124,
3.0,3.0,3.0,3.0,3.0,0.65,5.886719927327545,
3.0,3.5,3.0,3.0,3.0,0.65,5.828958590362053,
3.0,3.5,3.0,3.0,3.0,0.65,5.872191233928838,
3.0,3.5,3.0,3.0,3.0,0.65,5.791048378169895,
3.0,3.5,3.0,3.0,3.0,0.65,5.785069976807357,
3.0,3.5,3.0,3.0,3.0,0.65,6.150500070119633,
3.0,2.5,3.0,3.0,3.0,0.65,5.925912677540336,
3.0,3.0,3.0,3.0,3.0,0.65,6.145217003073968,
3.0,3.5,3.0,3.0,3.0,0.65,6.069656897398541,
3.0,3.5,3.0,3.0,3.0,0.65,5.792398366001331,
3.0,3.5,3.0,3.0,3.0,0.65,6.241890184672126,
3.0,3.5,3.0,3.0,3.0,0.65,5.874973601708223,
3.0,3.5,3.0,3.0,3.0,0.65,5.939676273316145,
3.0,3.5,3.0,3.0,3.0,0.65,5.905232913279234,
3.0,3.5,3.0,3.0,3.0,0.65,6.101484679565131,
3.0,3.5,3.0,3.0,3.0,0.65,6.161367978613316,
3.0,4.0,3.0,3.0,3.0,0.65,6.3564991975019165,
3.0,3.5,3.0,3.0,3.0,0.65,6.138968280160284,
3.0,3.5,3.0,3.0,3.0,0.65,5.91644609331301,
3.0,3.5,3.0,3.0,3.0,0.65,6.005981432117569,
3.0,3.5,3.0,3.0,3.0,0.65,6.081640273455298,
3.0,4.0,3.0,3.0,3.0,0.65,5.904629178594343,
3.0,4.0,3.0,3.0,3.0,0.65,6.158668143353014,
3.0,4.0,3.0,3.0,3.0,0.65,6.1039090081992935,
3.0,4.0,3.0,3.0,3.0,0.65,6.243726830684892,
3.0,4.0,3.0,3.0,3.0,0.65,5.999153243076608,
3.0,4.0,3.0,3.0,3.0,0.65,6.05195978090289,
3.0,4.0,3.0,3.0,3.0,0.65,6.232769132960093,
3.0,3.5,3.0,3.0,3.0,0.65,5.732097269615416,
3.0,4.0,3.0,3.0,3.0,0.65,5.8938586815185525,
3.0,3.5,3.0,3.0,3.0,0.65,6.310297454789091,
3.0,4.0,3.0,3.0,3.0,0.65,5.964491622540049,
3.0,4.0,3.0,3.0,3.0,0.65,5.971351260661288,
3.0,3.0,3.0,3.0,3.0,0.65,5.914379340980859,
3.0,4.0,3.0,3.0,3.0,0.65,6.13762730680427,
3.0,4.0,3.0,3.0,3.0,0.65,6.061996484648464,
3.0,4.0,3.0,3.0,3.0,0.65,6.063712222404222,
3.0,4.0,3.0,3.0,3.0,0.65,6.054882073430507,
3.0,4.0,3.0,3.0,3.0,0.65,6.014442805952193,
3.0,4.0,3.0,3.0,3.0,0.65,6.056616237824835,
3.0,4.0,3.0,3.0,3.0,0.65,6.0373674072392225,
3.0,4.5,3.0,3.0,3.0,0.65,5.664399660599933,
3.0,4.0,3.0,3.0,3.0,0.65,5.903994598932708,
3.0,4.5,3.0,3.0,3.0,0.65,5.449353009218712,
3.0,3.5,3.0,3.0,3.0,0.65,6.180756889242513,
3.0,4.5,3.0,3.0,3.0,0.65,6.0831898733512535,
3.0,4.5,3.0,3.0,3.0,0.65,6.108749893799481,
3.0,4.0,3.0,3.0,3.0,0.65,5.834310887365521,
3.0,4.0,3.0,3.0,3.0,0.65,6.480006356226925,
3.0,4.0,3.0,3.0,3.0,0.65,5.947972506624244,
3.0,4.5,3.0,3.0,3.0,0.65,5.959096676971873,
3.0,4.0,3.0,3.0,3.0,0.65,6.604713044161895,
3.0,4.5,3.0,3.0,3.0,0.65,5.978203536751904,
3.0,4.5,3.0,3.0,3.0,0.65,6.234909987479966,
3.0,4.5,3.0,3.0,3.0,0.65,6.106776557749024,
3.0,4.5,3.0,3.0,3.0,0.65,6.026734934502698,
3.0,4.5,3.0,3.0,3.0,0.65,6.003677221030159,
3.0,4.5,3.0,3.0,3.0,0.65,5.935157982511871,
3.0,4.5,3.0,3.0,3.0,0.65,5.820252089892335,
3.0,4.5,3.0,3.0,3.0,0.65,5.869233281976416,
3.0,4.0,3.0,3.0,3.0,0.65,5.727549458875676,
3.0,4.5,3.0,3.0,3.0,0.65,6.069216312975293,
3.0,4.5,3.0,3.0,3.0,0.65,5.855588626343364,
3.0,4.5,3.0,3.0,3.0,0.65,6.034544706343986,
3.0,5.0,3.0,3.0,3.0,0.65,6.211717258643196,
3.0,4.5,3.0,3.0,3.0,0.65,6.1111208195853965,
3.0,5.0,3.0,3.0,3.0,0.65,5.790640803305987,
3.0,5.0,3.0,3.0,3.0,0.65,5.675725883366962,
3.0,4.5,3.0,3.0,3.0,0.65,6.211327253006624,
3.0,5.0,3.0,3.0,3.0,0.65,6.0044972199020075,
3.0,5.0,3.0,3.0,3.0,0.65,5.736462442897482,
3.0,4.5,3.0,3.0,3.0,0.65,5.749354457202315,
3.0,5.0,3.0,3.0,3.0,0.65,6.051924935987481,
3.0,4.5,3.0,3.0,3.0,0.65,6.061976765485091,
3.0,4.5,3.0,3.0,3.0,0.65,6.108869260180627,
3.0,5.0,3.0,3.0,3.0,0.65,6.0716202593464335,
3.0,4.5,3.0,3.0,3.0,0.65,6.443080454104693,
3.0,5.0,3.0,3.0,3.0,0.65,6.340784605044201,
3.0,5.0,3.0,3.0,3.0,0.65,6.138703719157687,
3.0,4.5,3.0,3.0,3.0,0.65,6.158260380876163,
3.0,5.0,3.0,3.0,3.0,0.65,6.076874465331764,
3.0,5.0,3.0,3.0,3.0,0.65,5.826636983016119,
3.0,5.0,3.0,3.0,3.0,0.65,5.861127820726068,
3.0,5.0,3.0,3.0,3.0,0.65,5.975511251822366,
3.0,5.0,3.0,3.0,3.0,0.65,5.843052681103423,
3.0,5.0,3.0,3.0,3.0,0.65,5.609822452965058,
3.0,5.0,3.0,3.0,3.0,0.65,6.013691527535291,
3.0,5.0,3.0,3.0,3.0,0.65,5.980501126767397,
3.0,5.0,3.0,3.0,3.0,0.65,6.134137284476161,
3.0,5.0,3.0,3.0,3.0,0.65,5.986985234103168,
3.0,5.0,3.0,3.0,3.0,0.65,6.073644473442464,
3.0,4.5,3.0,3.0,3.0,0.65,6.021201607374535,
3.0,5.0,3.0,3.0,3.0,0.65,6.098537088571491,
3.0,5.0,3.0,3.0,3.0,0.65,6.050134529582312,
3.0,5.0,3.0,3.0,3.0,0.65,5.946013745332508,
3.0,5.0,3.0,3.0,3.0,0.65,6.054874648262535,
